Street_Number,Street_Name,Street_Side,Skytrain_Station_Name,BIA,Number_of_Racks,Year_Installed,Latitude,Longitude,Full_Name
500,Richards St,East,,,2,2012,49.2831322,-123.1129485,500 Richards St
410,Robson St,South,,YT,1,2016,49.2794275,-123.1172704,410 Robson St
433,Robson St,North,,,2,Prior 2010,49.2797792,-123.1171535,433 Robson St
608,Robson St,South,,,2,Prior 2010,49.2807755,-123.1193633,608 Robson St
1150,Robson St,South,,,1,Prior 2010,49.28527039999999,-123.1261629,1150 Robson St
1779,Robson St,North,,,1,Prior 2010,49.2914032,-123.1349407,1779 Robson St
1800,Robson St,South,,,1,2012,49.2912492,-123.1354647,1800 Robson St
1082,Seymour St,West,,DVBIA,2,2016,49.2776817,-123.1231754,1082 Seymour St
99,Smithe St,North,,,1,2014,49.27653919999999,-123.1152596,99 Smithe St
2480,Trafalgar St,East,,,2,Prior 2010,49.2643052,-123.1644382,2480 Trafalgar St
598,Union St,South,,,1,Prior 2010,49.2773796,-123.0918949,598 Union St
1503,Venables St,North,,,1,2015,49.2769341,-123.0740906,1503 Venables St
1697,Venables St,North,,,1,Prior 2010,49.2768141,-123.0707471,1697 Venables St
5076,Victoria Drive,East,,VDR,1,2012,49.2383371,-123.0650453,5076 Victoria Drive
5124,Victoria Drive,East,,VDR,1,2012,49.2379514,-123.0652084,5124 Victoria Drive
6904,Victoria Drive,East,,VDR,1,2012,49.221122,-123.0653329,6904 Victoria Drive
3788,W 10th Av,South,,,1,Prior 2010,49.26338020000001,-123.187414,3788 W 10th Av
4387,W 10th Av,North,,PGV,1,2011,49.263897,-123.2056104,4387 W 10th Av
4426,W 10th Av,South,,,1,Prior 2010,49.263625,-123.2069372,4426 W 10th Av
4434,W 10th Av,South,,,1,Prior 2010,49.2636063,-123.2071953,4434 W 10th Av
4441,W 10th Av,North,,PGV,1,2011,49.2639366,-123.2073412,4441 W 10th Av
4449,W 10th Av,North,,,1,Prior 2010,49.2639975,-123.2076345,4449 W 10th Av
4501,W 10th Av,North,,PGV,1,2011,49.2639929,-123.2093652,4501 W 10th Av
4502,W 10th Av,South,,,1,Prior 2010,49.263653,-123.2093974,4502 W 10th Av
4538,W 10th Av,South,,PGV,1,2011,49.2636571,-123.2103406,4538 W 10th Av
3870,W 16th Av,South,,,1,Prior 2010,49.2577331,-123.1899158,3870 W 16th Av
106,W 1st Av,South,,,1,Prior 2010,49.2701268,-123.1069682,106 W 1st Av
1898,W 1st Av,South,,,1,Prior 2010,49.270544,-123.1477406,1898 W 1st Av
2100,W 1st Av,South,,,1,2012,49.2707724,-123.1527429,2100 W 1st Av
124,W 3rd Av,South,,,1,2012,49.2681689,-123.1071321,124 W 3rd Av
2267,W 41st Av,North,,,1,2012,49.23478540000001,-123.1590352,2267 W 41st Av
1972,W 4th Av,South,,,1,Prior 2010,49.2678665,-123.1496339,1972 W 4th Av
2061,W 4th Av,North,,,2,Prior 2010,49.268247,-123.1518612,2061 W 4th Av
2198,W 4th Av,South,,,2,Prior 2010,49.26799159999999,-123.1547927,2198 W 4th Av
2340,W 4th Av,South,,,1,2010,49.2680595,-123.1583241,2340 W 4th Av
2356,W 4th Av,South,,,1,Prior 2010,49.2680222,-123.1588711,2356 W 4th Av
2360,W 4th Av,South,,,1,Prior 2010,49.2680112,-123.159012,2360 W 4th Av
2682,W 4th Av,South,,,1,2012,49.2681504,-123.1657012,2682 W 4th Av
2802,W 4th Av,South,,,1,Prior 2010,49.268156,-123.1683859,2802 W 4th Av
2835,W 4th Av,North,,,1,2015,49.2686277,-123.1690958,2835 W 4th Av
2959,W 4th Av,North,,,2,2013,49.2685912,-123.1709238,2959 W 4th Av
3303,W 4th Av,North,,,1,2012,49.2686414,-123.1780579,3303 W 4th Av
3525,W 4th Av,North,,,1,2012,49.2687227,-123.1824426,3525 W 4th Av
3661,W 4th Av,North,,,1,2012,49.2687395,-123.1849046,3661 W 4th Av
4,W 7th Av,South,,,1,2012,49.2645152,-123.105042,4 W 7th Av
686,W Broadway,South,,,1,Prior 2010,49.26311949999999,-123.1195717,686 W Broadway
1128,W Broadway,South,,,1,Prior 2010,49.2633304,-123.1296268,1128 W Broadway
1245,W Broadway,North,,,1,2012,49.26374269999999,-123.1326009,1245 W Broadway
1885,W Broadway,North,,,1,Prior 2010,49.2639071,-123.1477389,1885 W Broadway
